name,link,price,cashback
"
Смартфон Tecno Pova 2 4/128Gb Dazzle Black (LE7n) ",https://steelsmart.shop/shop/telefoniya-i-aksessuary/smartfony/b049fed4-e894-11ec-80fd-9e7f4e0f2588-5030b753-ee17-11ec-80fe-a00f6338a1ac/,"
15 290 ",765
"
Смартфон Blackview BV6200 PRO 6/128Гб Black ",https://steelsmart.shop/shop/telefoniya-i-aksessuary/smartfony/c6ddcbb8-d572-11ee-80e9-899d15001346/,"
15 290 ",765
"
Смартфон Blackview BV6200 PRO 6/128Гб Orange ",https://steelsmart.shop/shop/telefoniya-i-aksessuary/smartfony/5d9bbe65-d579-11ee-80e9-899d15001346/,"
15 290 ",765
"
Смартфон Xiaomi Redmi Note 12 4/128Gb Mint Green (23021RAA2Y) ",https://steelsmart.shop/shop/telefoniya-i-aksessuary/smartfony/b4842736-e459-11ed-8115-91017ce9870b-06f910a7-2158-11ee-8117-b9090afac2f4/,"
15 890 ",795
"
Смартфон Xiaomi Redmi Note 12 6/128Gb Mint Green (23021RAA2Y) ",https://steelsmart.shop/shop/telefoniya-i-aksessuary/smartfony/f944547e-ceed-11ed-8114-fe88e1f5b304/,"
15 990 ",800
"
Смартфон Vivo Y27s 8/256Гб Black Burgundy (V2322) ",https://steelsmart.shop/shop/telefoniya-i-aksessuary/smartfony/a8ade099-9437-11ee-8120-dd7cbfe4cc23/,"
15 990 ",800
"
Смартфон Vivo Y27s 8/256Гб Garden Green (V2322) ",https://steelsmart.shop/shop/telefoniya-i-aksessuary/smartfony/ce91597e-9438-11ee-8120-dd7cbfe4cc23/,"
15 990 ",800
"
Смартфон Samsung Galaxy A15 6/128Гб Blue Black (SM-A155FZKGSKZ) ",https://steelsmart.shop/shop/telefoniya-i-aksessuary/smartfony/76df825c-f73f-11ee-80eb-96ac15dec332/,"
15 990 ",800
"
Смартфон Samsung Galaxy A15 6/128Гб Light Blue (SM-A155FLBGSKZ) ",https://steelsmart.shop/shop/telefoniya-i-aksessuary/smartfony/d19c4326-f73f-11ee-80eb-96ac15dec332/,"
15 990 ",800
"
Смартфон Samsung Galaxy A15 6/128Гб Blue (SM-A155FZBGSKZ) ",https://steelsmart.shop/shop/telefoniya-i-aksessuary/smartfony/6ecc4112-f740-11ee-80eb-96ac15dec332/,"
15 990 ",800
"
Смартфон Tecno Pova 5 8/128Gb Amber Gold (LH7n) ",https://steelsmart.shop/shop/telefoniya-i-aksessuary/smartfony/1fcf1627-2d3e-11ee-8117-b9090afac2f4/,"
16 490 ",825
"
Смартфон Tecno Pova 5 8/128Gb Mecha Black (LH7n) ",https://steelsmart.shop/shop/telefoniya-i-aksessuary/smartfony/1fb35f9c-2d3f-11ee-8117-b9090afac2f4/,"
16 490 ",825
"
Смартфон Tecno Pova 5 8/128Gb Hurricane Blue (LH7n) ",https://steelsmart.shop/shop/telefoniya-i-aksessuary/smartfony/609a5808-588a-11ee-811c-a9037b8a1468/,"
16 490 ",825
"
Смартфон Xiaomi Redmi Note 13 8/128 Midnight Black (23124RA7EO) ",https://steelsmart.shop/shop/telefoniya-i-aksessuary/smartfony/3603e149-cca0-11ee-80e8-c445fce07734-755f9dbf-fbdb-11ee-80eb-96ac15dec332/,"
16 990 ",850
"
Смартфон Tecno Spark 20 Pro 8/256Gb Moonlite Black (KJ6) ",https://steelsmart.shop/shop/telefoniya-i-aksessuary/smartfony/b8f2eff4-b139-11ee-8120-dd7cbfe4cc23/,"
17 290 ",865
"
Смартфон Tecno Spark 20 Pro 8/256Gb Sunset Blush (KJ6) ",https://steelsmart.shop/shop/telefoniya-i-aksessuary/smartfony/60b9ebc7-bc5b-11ee-8121-ccae40f1d1a6/,"
17 290 ",865
"
Смартфон Tecno Spark 20 Pro 8/256Gb Magic Skin Green (KJ6) ",https://steelsmart.shop/shop/telefoniya-i-aksessuary/smartfony/d2209ced-cb3e-11ee-80e6-8ad50213adda/,"
17 290 ",865
"
Смартфон Tecno Pova 5 8/256Gb Mecha Black (LH7n) ",https://steelsmart.shop/shop/telefoniya-i-aksessuary/smartfony/4c7350d0-2d3f-11ee-8117-b9090afac2f4/,"
17 490 ",875
"
Смартфон Tecno Pova 5 8/256Gb Hurricane Blue (LH7n) ",https://steelsmart.shop/shop/telefoniya-i-aksessuary/smartfony/67069e4e-56c2-11ee-811b-b54e96692785/,"
17 490 ",875
"
Смартфон Tecno Pova 5 8/256Gb Amber Gold (LH7n) ",https://steelsmart.shop/shop/telefoniya-i-aksessuary/smartfony/4f3f6dd5-68f8-11ee-811d-b83610bdab23/,"
17 490 ",875
"
Смартфон Realme C67 6/128Гб Black (RMX3890) ",https://steelsmart.shop/shop/telefoniya-i-aksessuary/smartfony/0962898b-d16c-11ee-80e8-c445fce7734/,"
17 490 ",875
"
Смартфон Realme C67 6/128Гб Green (RMX3890) ",https://steelsmart.shop/shop/telefoniya-i-aksessuary/smartfony/4c800a85-d16c-11ee-80e8-c445fce7734/,"
17 490 ",875
"
Смартфон Vivo Y36 8/256Гб Vibrant Gold (V2247) ",https://steelsmart.shop/shop/telefoniya-i-aksessuary/smartfony/9482cdf0-8a0a-11ee-8120-dd7cbfe4cc23/,"
17 990 ",900
"
Смартфон Blackview BV7100 6/128Гб Black ",https://steelsmart.shop/shop/telefoniya-i-aksessuary/smartfony/61d4f3e5-d57a-11ee-80e9-899d15001346/,"
17 990 ",900
"
Смартфон Xiaomi Redmi Note 13 6/128Gb Midnight Black (23124RA7EO) ",https://steelsmart.shop/shop/telefoniya-i-aksessuary/smartfony/816a55e4-e6c0-11ee-80ea-bfd57f4940da/,"
17 990 ",900
